combo,cell_count,removed,brain_region
PM-UM_HCTZZM-BLM0-PMC-RSN,8768,kept,PMC
PM-MS_29270-BLM0-PVC-RSN,1602,kept,PVC
PM-UD_11609_001-BLM0-GPI-RSN,3675,kept,GPI
PM-UD_40301_001-BLM0-PFC-RSN,2459,kept,PFC
PM-UM_HBHQ-BLM0-PVC-RSN,2030,kept,PVC
PM-UM_HCTTO-BLM0-DMNX-RSN,2753,kept,DMNX
PM-MS_616180-BLM0-DMNX-RSN,1288,kept,DMNX
PM-MS_92697-BLM0-DMNX-RSN,4706,kept,DMNX
PM-UD_11197_001-BLM0-PVC-RSN,6664,kept,PVC
PM-UM_BEB19126-BLM0-DMNX-RSN,2162,kept,DMNX
PM-UM_BEB20013-BLM0-PFC-RSN,6193,kept,PFC
PM-UM_HBOQ-BLM0-GPI-RSN,4861,kept,GPI
PM-UD_11610_001-BLM0-PMC-RSN,3677,kept,PMC
PM-MS_6130-BLM0-GPI-RSN,3056,kept,GPI
PM-MS_272264-BLM0-PMC-RSN,3495,kept,PMC
PM-UD_11701_001-BLM0-PVC-RSN,3008,kept,PVC
PM-UD_11659_001-BLM0-PMC-RSN,2600,kept,PMC
PM-UM_HBHE-BLM0-GPI-RSN,4619,kept,GPI
PM-UM_HCTNJ-BLM0-PFC-RSN,2761,kept,PFC
PM-MS_55245-BLM0-GPI-RSN,4224,kept,GPI
PM-UD_11614_102-BLM0-PMC-RSN,4339,kept,PMC
PM-UD_11334_001-BLM0-PFC-RSN,4500,kept,PFC
PM-UM_HABI-BLM0-DMNX-RSN,1704,kept,DMNX
PM-UM_HBRH-BLM0-PVC-RSN,5158,kept,PVC
PM-UM_HCTYE-BLM0-GPI-RSN,1739,kept,GPI
PM-UD_11614_102-BLM0-PFC-RSN,3458,kept,PFC
PM-UD_11406_001-BLM0-GPI-RSN,3526,kept,GPI
PM-UM_HBRI-BLM0-PFC-RSN,2656,kept,PFC
PM-UM_HCTZZL-BLM0-PVC-RSN,5715,kept,PVC
PM-UM_HCTYE-BLM0-DMNX-RSN,1970,kept,DMNX
PM-UM_HTM-BLM0-PMC-RSN,2764,kept,PMC
PM-UD_11614_102-BLM0-PVC-RSN,7431,kept,PVC
PM-UD_11334_001-BLM0-PMC-RSN,7651,kept,PMC
PM-UM_HABI-BLM0-GPI-RSN,4208,kept,GPI
