combo,cell_count,removed,brain_region
PM-MS_644748-BLM0-DMNX-RSN,1667,kept,DMNX
PM-MS_96251-BLM0-PFC-RSN,2236,kept,PFC
PM-HA_S07792-BLM0-PMC-RSN,1273,kept,PMC
PM-HA_S12889-BLM0-PMC-RSN,1151,kept,PMC
PM-HA_S16298-BLM0-GPI-RSN,2788,kept,GPI
PM-MS_971551-BLM0-PMC-RSN,423,kept,PMC
PM-MS_644748-BLM0-GPI-RSN,7016,kept,GPI
PM-MS_96251-BLM0-PVC-RSN,3275,kept,PVC
PM-HA_S07792-BLM0-GPI-RSN,2790,kept,GPI
PM-HA_S12889-BLM0-PFC-RSN,4203,kept,PFC
PM-HA_S06947-BLM0-DMNX-RSN,897,kept,DMNX
PM-MS_644748-BLM0-PFC-RSN,5973,kept,PFC
PM-HA_S06947-BLM0-PMC-RSN,1942,kept,PMC
PM-HA_S07792-BLM0-PVC-RSN,3224,kept,PVC
PM-HA_S16298-BLM0-PFC-RSN,4818,kept,PFC
PM-HA_S14032-BLM0-GPI-RSN,938,kept,GPI
PM-HA_S01667-BLM0-DMNX-RSN,2226,kept,DMNX
PM-MS_644748-BLM0-PMC-RSN,6471,kept,PMC
PM-UD_11412_001-BLM0-GPI-RSN,5219,kept,GPI
PM-UM_HCTBY-BLM0-DMNX-RSN,3955,kept,DMNX
PM-HA_S06947-BLM0-PVC-RSN,745,kept,PVC
PM-HA_S14032-BLM0-PFC-RSN,1564,kept,PFC
PM-HA_S07792-BLM0-DMNX-RSN,1451,kept,DMNX
PM-HA_S01667-BLM0-GPI-RSN,2352,kept,GPI
PM-HA_S02252-BLM0-DMNX-RSN,1102,kept,DMNX
PM-HA_S03112-BLM0-PMC-RSN,4776,kept,PMC
PM-HA_S16298-BLM0-PVC-RSN,5013,kept,PVC
PM-MS_38636-BLM0-PVC-RSN,7758,kept,PVC
PM-MS_840752-BLM0-PMC-RSN,3861,kept,PMC
PM-MS_69779-BLM0-PVC-RSN,6496,kept,PVC
PM-MS_841919-BLM0-PMC-RSN,4834,kept,PMC
PM-MS_64111-BLM0-DMNX-RSN,2934,kept,DMNX
PM-MS_202387-BLM0-PMC-RSN,7296,kept,PMC
PM-MS_69779-BLM0-DMNX-RSN,4072,kept,DMNX
PM-MS_85716-BLM0-PMC-RSN,4592,kept,PMC
